beer_name,brand,brewery,style,abv,calories,size,package_type,karnataka_price_min,karnataka_price_max,karnataka_price_observations_json,gtin,barcode,image_url,manufacturer_url,sources,confidence_score,last_verified_note
BIRA 91 LIGHT PINT,Bira 91,,,,,,Pint (small bottle),160.0,160.0,"[{""value"": ""₹160.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000080-bira-91-light-pint-3301,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
CORONA PINT,Corona,Ab Inbev,,,,330 ml,Pint (small bottle),130.0,130.0,"[{""value"": ""₹130.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3470/image_1920?unique=0b21824,https://www.madhuloka.com/shop/m000002-corona-pint-3470,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size/Country (United States) confirmed.
BIRA 91 BLONDE PINT,Bira 91,,Blonde (from product name),,,,Pint (small bottle),155.0,155.0,"[{""value"": ""₹155.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3296/image_512/%5BM000075%5D%20BIRA%2091%20BLONDE%20PINT?unique=edbd0bc,https://www.madhuloka.com/shop/m000075-bira-91-blonde-pint-3296,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
UB STRONG PINT,UB Export / United Breweries,,,,,,Pint (small bottle),95.0,95.0,"[{""value"": ""₹95.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000034-ub-strong-pint-4598,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
TUBORG STRONG PINT,Tuborg,,,,,,Pint (small bottle),120.0,120.0,"[{""value"": ""₹120.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000072-tuborg-strong-pint-4583,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
TUBORG GREEN LTD TIN,Tuborg,,,,,,Tin/Can,115.0,115.0,"[{""value"": ""₹115.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000070-tuborg-green-ltd-tin-4581,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched. '(LTD)' in name may denote a limited edition.
TOIT TINT IN WIT,TOIT,TOIT,Witbier (from product name 'TINT IN WIT'),,,330 ml,Unknown,125.0,125.0,"[{""value"": ""₹125.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/4561/image_1920?unique=722da05,https://www.madhuloka.com/shop/m001370-toit-tint-in-wit-4561,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,"Fetched product detail page directly; Brand/Size confirmed (site's Brand field = 'TOIT', which is also the well-known Bangalore brewery)."
UB PREMIUM TIN,UB Export / United Breweries,,,,,,Tin/Can,100.0,100.0,"[{""value"": ""₹100.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/4596/image_512/%5BM001420%5D%20UB%20PREMIUM%20TIN?unique=723bf04,https://www.madhuloka.com/shop/m001420-ub-premium-tin-4596,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
UB STRONG TIN,UB Export / United Breweries,,,,,,Tin/Can,100.0,100.0,"[{""value"": ""₹100.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m001419-ub-strong-tin-4599,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
BIRA 91 WHITE PINT,Bira 91,,,,,,Pint (small bottle),165.0,165.0,"[{""value"": ""₹165.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000083-bira-91-white-pint-3305,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
UB PREMIUM PINT,UB Export / United Breweries,,,,,,Pint (small bottle),75.0,75.0,"[{""value"": ""₹75.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000032-ub-premium-pint-4595,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
KF STORM BOTTLE,Kingfisher,,,,,,Bottle,205.0,205.0,"[{""value"": ""₹205.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3846/image_512/%5BM000019%5D%20KF%20STORM%20BOTTLE?unique=0c4d6f0,https://www.madhuloka.com/shop/m000019-kf-storm-bottle-3846,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KF STORM TIN,Kingfisher,,,,,,Tin/Can,160.0,160.0,"[{""value"": ""₹160.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3847/image_512/%5BM000020%5D%20KF%20STORM%20TIN?unique=c169c91,https://www.madhuloka.com/shop/m000020-kf-storm-tin-3847,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KF STRONG BOTTLE,Kingfisher,,,,,,Bottle,180.0,180.0,"[{""value"": ""₹180.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3848/image_512/%5BM000012%5D%20KF%20STRONG%20BOTTLE?unique=7fa7e5f,https://www.madhuloka.com/shop/m000012-kf-strong-bottle-3848,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
SIMBA JUNGLE STOUT,Simba,Sona Beverages,Stout (from product name),,,500 ml,Unknown,170.0,170.0,"[{""value"": ""₹170.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/4374/image_1920?unique=d0a8751,https://www.madhuloka.com/shop/m000191-simba-jungle-stout-4374,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed.
HUNTER STRONG PREMIUM BOTTLE,Hunter,,,,,,Bottle,170.0,170.0,"[{""value"": ""₹170.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000084-hunter-strong-premium-bottle-3736,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
GEIST JAMES,Geist,Sula Import,,,,500 ml,Unknown,265.0,265.0,"[{""value"": ""₹265.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3597/image_1920?unique=62f2572,https://www.madhuloka.com/shop/m000809-geist-james-3597,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand ('Sula Import') and Size confirmed on-page; Country listed as India.
SIMBA WIT PINT,Simba,,Witbier (from product name),,,,Pint (small bottle),110.0,110.0,"[{""value"": ""₹110.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/4383/image_512/%5BM000089%5D%20SIMBA%20WIT%20PINT?unique=a4df22c,https://www.madhuloka.com/shop/m000089-simba-wit-pint-4383,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KF ULTRA WITBIER TIN,Kingfisher,,Witbier (from product name),,,,Tin/Can,155.0,155.0,"[{""value"": ""₹155.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3860/image_512/%5BM001476%5D%20KF%20ULTRA%20WITBIER%20TIN?unique=a94ec84,https://www.madhuloka.com/shop/m001476-kf-ultra-witbier-tin-3860,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
Amstel Grande Strong Beer,Amstel,,Strong,,,650ML / 500ML CAN / 330ML,Bottle / Can,,,[],,,https://admin.livingliquidz.com/img/SM/-AMSTEL-GRANDE-STRONG-BEER-3301.jpg,https://web.archive.org/web/20250424025805/https://www.livingliquidz.com/product/amstel-grande-strong-beer/3301,Living Liquidz (livingliquidz.com) - accessed via Wayback Machine archive because live site was down,Medium,"Verified via Wayback Machine snapshot dated 2025-04-24 of livingliquidz.com product page (live site itself was unreachable at fetch time). Listed prices (Mumbai/Pune location, NOT confirmed Karnataka pricing): 650ML ₹250.00, 500ML CAN ₹195.00, 330ML ₹160.00. Country: India. No ABV or calorie data present anywhere on the page."
Bira White Beer,Bira,Bira 91,Wheat / Witbier,,,330ML / 500ML CAN / 650ML,Bottle / Can,,,[],,,https://admin.livingliquidz.com/img/SM/BIRA-WHITE-BEER-742.jpg,https://web.archive.org/web/20240528165917/https://www.livingliquidz.com/product/bira-white-beer/742,Living Liquidz (livingliquidz.com) - accessed via Wayback Machine archive because live site was down,Medium,"Verified via Wayback Machine snapshot dated 2024-05-28 of livingliquidz.com product page. Listed prices (Mumbai/Pune location, NOT confirmed Karnataka pricing): 330ML ₹170.00, 500ML CAN ₹220.00, 650ML ₹250.00. Country: India. No ABV or calorie data present on the page."
London Pilsner Beer,London Pilsner,United Breweries (per page description),Pale Ale / Pilsner (Mild),,,330ML CAN / 500ML / 650ML,Bottle / Can,,,[],,,https://admin.livingliquidz.com/img/SM/LONDON-PILSNER-BEER-728.jpg,https://web.archive.org/web/20231205012123/https://www.livingliquidz.com/product/london-pilsner-beer/728,Living Liquidz (livingliquidz.com) - accessed via Wayback Machine archive because live site was down,Medium,"Verified via Wayback Machine snapshot dated 2023-12-05 of livingliquidz.com product page. Listed prices (Mumbai/Pune location, NOT confirmed Karnataka pricing): 330ML CAN ₹90.00, 500ML ₹100.00, 650ML ₹140.00. Country: India. No ABV or calorie data present on the page."
Kingfisher Premium Beer,Kingfisher,United Breweries Ltd.,Mild lager,,,330ML / 330ML CAN / 500ML CAN / 650ML,Bottle / Can,,,[],,,https://admin.livingliquidz.com/img/SM/KINGFISHER-PREMIUM-BEER-726.jpg,https://web.archive.org/web/20230326180550/https://www.livingliquidz.com/product/kingfisher-premium-beer/726,Living Liquidz (livingliquidz.com) - accessed via Wayback Machine archive because live site was down,Medium,"Verified via Wayback Machine snapshot dated 2023-03-26 of livingliquidz.com product page. Listed prices (Mumbai/Pune location, NOT confirmed Karnataka pricing): 500ML CAN ₹140.00, 330ML CAN ₹120.00, 650ML ₹190.00, 330ML ₹120.00. Country: India. No ABV or calorie data present on the page."
Kingfisher Ultra Beer,Kingfisher,United Breweries Ltd.,Mild lager (Ultra Smooth),,,330ML / 500ML CAN / 650ML,Bottle / Can,,,[],,,https://admin.livingliquidz.com/ImagesUpload/NewProject(31)20222639902.jpg,https://web.archive.org/web/20220523121841/https://www.livingliquidz.com/product/kingfisher-ultra-beer/727,Living Liquidz (livingliquidz.com) - accessed via Wayback Machine archive because live site was down,Medium,"Verified via Wayback Machine snapshot dated 2022-05-23 of livingliquidz.com product page. Listed prices (Mumbai location, NOT confirmed Karnataka pricing): 500ML CAN ₹170.00, 650ML ₹210.00, 330ML ₹130.00. No ABV or calorie data present on the page."
Tuborg Green Beer,Tuborg,"Carlsberg Group (Tuborg brand, per page 'Country: Denmark')",Lager (Mild),,,330ML / 500ML CAN / 650ML,Bottle / Can,,,[],,,https://admin.livingliquidz.com/img/SM/TUBORG-GREEN-BEER-729.jpg,https://web.archive.org/web/20240813120529/https://www.livingliquidz.com/product/tuborg-green-beer/729,Living Liquidz (livingliquidz.com) - accessed via Wayback Machine archive because live site was down,Medium,"Verified via Wayback Machine snapshot dated 2024-08-13 of livingliquidz.com product page. Listed prices (Mumbai/Pune location, NOT confirmed Karnataka pricing): 500ML CAN ₹155.00, 650ML ₹200.00, 330ML ₹130.00. Country field lists Denmark (origin of brand). No ABV or calorie data present on the page."
Effingut Effin Light Lagered Ale,Effingut,,Ale (Domestic - Mild category),,,500 ML CAN,Can,,,[],,,,https://web.archive.org/web/20251215060746/https://www.livingliquidz.com/products/domestic-beers/ale?categorySlug=mild&categoryId=1701,Living Liquidz (livingliquidz.com) - accessed via Wayback Machine archive because live site was down,Low,"Verified via Wayback Machine snapshot dated 2025-12-15 of the 'Mild' beer category listing page. Listed price (Mumbai/Pune location, NOT confirmed Karnataka pricing): ₹250.00 for 500ML CAN. No individual product detail page for this SKU was found/fetched; no ABV data available."
Effingut Incider Ale Cherry Berry,Effingut,,Cider/Ale (Domestic - Mild category),,,500 ML CAN,Can,,,[],,,,https://web.archive.org/web/20251215060746/https://www.livingliquidz.com/products/domestic-beers/ale?categorySlug=mild&categoryId=1701,Living Liquidz (livingliquidz.com) - accessed via Wayback Machine archive because live site was down,Low,"Verified via Wayback Machine snapshot dated 2025-12-15 of the 'Mild' beer category listing page. Listed price (Mumbai/Pune location, NOT confirmed Karnataka pricing): ₹265.00 for 500ML CAN. No ABV data available."
Effingut Incider Ale Kashmiri Apple,Effingut,,Cider/Ale (Domestic - Mild category),,,500 ML CAN,Can,,,[],,,,https://web.archive.org/web/20251215060746/https://www.livingliquidz.com/products/domestic-beers/ale?categorySlug=mild&categoryId=1701,Living Liquidz (livingliquidz.com) - accessed via Wayback Machine archive because live site was down,Low,"Verified via Wayback Machine snapshot dated 2025-12-15 of the 'Mild' beer category listing page. Listed price (Mumbai/Pune location, NOT confirmed Karnataka pricing): ₹250.00 for 500ML CAN. No ABV data available."
Effingut Incider Ale Mango,Effingut,,Cider/Ale (Domestic - Mild category),,,500 ML CAN,Can,,,[],,,,https://web.archive.org/web/20251215060746/https://www.livingliquidz.com/products/domestic-beers/ale?categorySlug=mild&categoryId=1701,Living Liquidz (livingliquidz.com) - accessed via Wayback Machine archive because live site was down,Low,"Verified via Wayback Machine snapshot dated 2025-12-15 of the 'Mild' beer category listing page. Listed price (Mumbai/Pune location, NOT confirmed Karnataka pricing): ₹275.00 for 500ML CAN. No ABV data available."
Kingfisher Premium,Kingfisher,United Breweries Limited (part of The HEINEKEN Company),Lager,,,330 ml; 500 ml Can; 650 ml (per official brand page),Bottle / Can,,,[],,,https://www.unitedbreweries.com/sites/united-breweries/files/united-breweries/brands/kingfisher-premium/kingfisher-premium-330ml-new.png ; .../kingfisher-premium-500ml-can-new.png ; .../kingfisher-premium-650ml-new.png,https://www.unitedbreweries.com/our-brands/iconic-brands/kingfisher-premium,United Breweries Limited (unitedbreweries.com) — official brand pages,High,Verified by direct fetch of unitedbreweries.com brand page on 2026-08-05. Sizes/images confirmed; page does not publish ABV or calories for this SKU.
Kingfisher Strong,Kingfisher,United Breweries Limited (part of The HEINEKEN Company),Strong Lager,"Between 5% and 8% (site states a range, not a single fixed value: ""packs a bold punch with an ABV between 5% and 8%"")",,330 ml; 500 ml Can; 650 ml,Bottle / Can,,,[],,,https://www.unitedbreweries.com/sites/united-breweries/files/united-breweries/brands/kingfisher-strong/kingfisher-strong-330ml-new.png ; .../kingfisher-strong-500ml-can-new.png ; .../kingfisher-strong-650ml-new.png,https://www.unitedbreweries.com/our-brands/iconic-brands/kingfisher-strong,United Breweries Limited (unitedbreweries.com) — official brand pages,High,"Verified by direct fetch on 2026-08-05. ABV given as a range on the official page, not a per-SKU exact figure (actual ABV varies by state regulation in India). No calories published."
Kingfisher Ultra,Kingfisher,United Breweries Limited (part of The HEINEKEN Company),"Light-bodied premium lager (""Gold Standard"")",,,330 ml; 500 ml Can; 650 ml,Bottle / Can,,,[],,,https://www.unitedbreweries.com/sites/united-breweries/files/united-breweries/brands/kingfisher-ultra/kingfisher-ultra-330-ml.png ; .../kingfisher-ultra-500-ml-can.png ; .../kingfisher-ultra-650-ml.png,https://www.unitedbreweries.com/our-brands/iconic-brands/kingfisher-ultra,United Breweries Limited (unitedbreweries.com) — official brand pages,High,"Verified by direct fetch on 2026-08-05. No ABV or calorie figure published on this page (site describes it as ""light-bodied"" and ""crisp"" only)."
Kingfisher Ultra Max,Kingfisher,United Breweries Limited (part of The HEINEKEN Company),"Premium strong lager (positioned as ""stronger variant of The Gold Standard Beer"")",,,330 ml; 500 ml Can; 650 ml,Bottle / Can,,,[],,,https://www.unitedbreweries.com/sites/united-breweries/files/united-breweries/brands/kingfisher-ultra-max/kingfisher-ultra-max-330-ml.png ; .../kingfisher-ultra-max-500-ml-can.png ; .../kingfisher-ultra-max-650-ml.png,https://www.unitedbreweries.com/our-brands/iconic-brands/kingfisher-ultra-max,United Breweries Limited (unitedbreweries.com) — official brand pages,High,"Verified by direct fetch on 2026-08-05. No numeric ABV or calorie value published on page; described qualitatively as a ""premium strong lager."""
Kingfisher Ultra Witbier,Kingfisher,United Breweries Limited (part of The HEINEKEN Company),Belgian-style wheat beer (witbier),,,330 ml; 500 ml Can; 650 ml,Bottle / Can,,,[],,,https://www.unitedbreweries.com/sites/united-breweries/files/united-breweries/brands/kingfisher-ultra-witbier/kingfisher-ultra-witbier-330-ml.png ; .../kingfisher-ultra-witbier-500-ml-can.png ; .../kingfisher-ultra-witbier-650-ml.png,https://www.unitedbreweries.com/our-brands/iconic-brands/kingfisher-ultra-witbier,United Breweries Limited (unitedbreweries.com) — official brand pages,High,Verified by direct fetch on 2026-08-05. No ABV or calorie figure published.
Kingfisher Lemon Masala (KF Flavours),Kingfisher,United Breweries Limited (part of The HEINEKEN Company),Flavoured lager (lemon-masala),,,300 ml; 500 ml Can,Bottle / Can,,,[],,,https://www.unitedbreweries.com/sites/united-breweries/files/united-breweries/brands/kingfisher-flavours/lemon-masala/kf-flavours-300ml-lemon-masala.png ; .../kf-flavours-500ml-can-lemon-masala.png,https://www.unitedbreweries.com/our-brands/iconic-brands/kingfisher-lemon-masala,United Breweries Limited (unitedbreweries.com) — official brand pages,High,Verified by direct fetch on 2026-08-05. Note: 300 ml/500 ml pack sizes differ from the 330/500/650 ml pattern used for the other Kingfisher variants — this is what the page itself lists. No ABV/calories published.
Kingfisher Mango Berry Twist (KF Flavours),Kingfisher,United Breweries Limited (part of The HEINEKEN Company),Flavoured lager (mango-berry),,,300 ml; 500 ml,Bottle / Can,,,[],,,https://www.unitedbreweries.com/sites/united-breweries/files/united-breweries/brands/kingfisher-flavours/mango-berry-twist/kf-flavours-300-ml-mango-berry.png ; .../kf-flavours-500ml-mango-berry.png,https://www.unitedbreweries.com/our-brands/iconic-brands/kingfisher-mango-berry-twist,United Breweries Limited (unitedbreweries.com) — official brand pages,High,"Verified by direct fetch on 2026-08-05. No ABV/calories published; page text lists both a 500 ml ""Can"" reference and a plain 500 ml reference — package format (can vs bottle) for the 500 ml SKU is ambiguous on the page itself."
Amstel Grande,Amstel,United Breweries Limited (part of The HEINEKEN Company); Amstel brand originates from Amsterdam (heritage dates to 1870),"Premium no-added-sugar lager, slow-brewed/matured longer",,,330 ml; 500 ml Can; 650 ml,Bottle / Can,,,[],,,https://www.unitedbreweries.com/sites/united-breweries/files/united-breweries/brands/amstel-grande/amstel-grande-330ml.png ; .../amstel-grande-500ml-can.png ; .../amstel-grande-650ml.png,https://www.unitedbreweries.com/our-brands/iconic-brands/amstel-grande,United Breweries Limited (unitedbreweries.com) — official brand pages,High,"Verified by direct fetch on 2026-08-05, including a homepage news item confirming UBL 'Launches Amstel Grande in Goa.' No ABV/calories published."
Heineken Original,Heineken,The HEINEKEN Company (parent of UBL); distributed in India via UBL's portfolio hub page,,,,,,,,[],,,,https://www.heineken.com/in/en/our-products/heineken-original/,United Breweries Limited (unitedbreweries.com) — official brand pages,Medium,"Listed on unitedbreweries.com's 'Our Brands' hub page (verified fetch 2026-08-05) as part of the portfolio, but the 'Explore' link routes to heineken.com/in (Heineken's own India site), not a unitedbreweries.com brand page — so ABV/size/calorie details were not sourced from UBL's own site. Medium confidence because presence in UBL's portfolio is confirmed, but product specs are not hosted by unitedbreweries.com."
Heineken Silver,Heineken,The HEINEKEN Company (parent of UBL); distributed in India via UBL's portfolio hub page,,,,,,,,[],,,,https://www.heineken.com/in/en/our-products/heineken-silver/,United Breweries Limited (unitedbreweries.com) — official brand pages,Medium,Same as Heineken Original: listed on unitedbreweries.com hub page (verified fetch 2026-08-05) but 'Explore' link routes off-site to heineken.com/in.
Heineken 0.0,Heineken,United Breweries Limited (part of The HEINEKEN Company),,"0% (non-alcoholic, per product description)",,,,,,[],,,,https://www.unitedbreweries.com/our-brands/our-non-alcoholic-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,Medium,Verified by direct fetch of UBL's 'Our Non-Alcoholic Brands' page on 2026-08-05. Page describes it as 'great taste and zero alcohol' with heritage note 'since 1873.' No size or calorie figure published. Medium confidence because this is a non-alcoholic brand entry rather than a full dedicated product page with package specs.
London Pilsner Premium,London Pilsner,United Breweries Limited,,,,"Bottle: 650 mL; Can: 500 mL, 330 mL",Bottle / Can,,,[],,,,https://www.unitedbreweries.com/our-brands/other-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,High,"Verified by direct fetch of UBL's 'Other Brands' page on 2026-08-05, listed under 'Our Other Innovations' with explicit SKU sizes given by the site itself (""SKU's available: Bottle: 650 mL Can: 500 mL, 330 mL""). No ABV/calories published; regional brand (Maharashtra), launched 1973 per site text."
London Pilsner Strong (London Pilsner Premium Strong Beer),London Pilsner,United Breweries Limited,,,,Bottle: 650 mL; Can: 500 mL,Bottle / Can,,,[],,,,https://www.unitedbreweries.com/our-brands/other-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,High,"Verified by direct fetch on 2026-08-05; site states strong variant introduced in 2008, regional (Maharashtra). No ABV/calories published on the page."
Bullet Super Strong,Bullet,United Breweries Limited,,,,"Bottle: 650 mL, 330 mL; Can: 500 mL",Bottle / Can,,,[],,,,https://www.unitedbreweries.com/our-brands/other-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,High,"Verified by direct fetch on 2026-08-05; regional brand (Karnataka), brewed with Indian malt and German hops per site text. No ABV/calories published."
Cannon 10000,Cannon,United Breweries Limited,,,,"650 mL, 330 mL",Bottle,,,[],,,,https://www.unitedbreweries.com/our-brands/other-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,High,Verified by direct fetch on 2026-08-05; regional legacy brand from Maharashtra (Marathwada region) per site text. No ABV/calories published.
Kalyani Black Label Strong (KBLS),Kalyani Black Label,United Breweries Limited,,,,650 mL,Bottle,,,[],,,,https://www.unitedbreweries.com/our-brands/other-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,High,"Verified by direct fetch on 2026-08-05; regional brand from West Bengal, named after UBL's first brewery in Kalyani. No ABV/calories published."
Zingaro,Zingaro,United Breweries Limited,,,,650 mL,Bottle,,,[],,,,https://www.unitedbreweries.com/our-brands/other-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,High,Verified by direct fetch on 2026-08-05. No ABV/calories published.
UB Export Lager,UB Export,United Breweries Limited,,,,"Bottle: 650 mL, 330 mL; Can: 500 mL",Bottle / Can,,,[],,,,https://www.unitedbreweries.com/our-brands/other-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,High,Verified by direct fetch on 2026-08-05; regional Karnataka brand. No ABV/calories published.
UB Export Strong,UB Export,United Breweries Limited,,,,"Bottle: 650 mL, 330 mL; Can: 500 mL",Bottle / Can,,,[],,,,https://www.unitedbreweries.com/our-brands/other-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,High,"Verified by direct fetch on 2026-08-05; regional Karnataka brand, strong variant. No ABV/calories published."
Kingfisher Premium Packaged Drinking Water,Kingfisher,United Breweries Limited,,,,,,,,[],,,,https://www.unitedbreweries.com/our-brands/our-non-alcoholic-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,Medium,"Non-alcoholic product (packaged water), verified present on UBL's non-alcoholic brands page fetched 2026-08-05. Not a beer; included only because it appears in UBL's own product lineup. No size/price data published on this page."
Kingfisher Strong Power Soda,Kingfisher,United Breweries Limited,,,,,,,,[],,,,https://www.unitedbreweries.com/our-brands/our-non-alcoholic-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,Medium,"Non-alcoholic mixer/soda product, verified present on UBL's non-alcoholic brands page (fetch 2026-08-05). Not a beer. No size/price data published."
Kingfisher Ultra Premium Soda,Kingfisher,United Breweries Limited,,,,,,,,[],,,,https://www.unitedbreweries.com/our-brands/our-non-alcoholic-brands,United Breweries Limited (unitedbreweries.com) — official brand pages,Medium,"Non-alcoholic mixer/soda product, verified present on UBL's non-alcoholic brands page (fetch 2026-08-05, text was truncated mid-sentence in the extraction so full description not captured). Not a beer. No size/price data published."
Bira 91 White,Bira 91,B9 Beverages Pvt. Ltd.,"Wheat beer (""all-day craft beer"", low bitterness, cloudy appearance)",4.7%,,"330ml pint, 500ml can, 24-pint case",Bottle and can,,,[],,,,https://web.archive.org/web/20180824155241/http://bira91.com/whitebeer/index.html,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Medium,"Verified via Wayback Machine snapshot (24 Aug 2018) of bira91.com/whitebeer/index.html, not the live site (live site is currently broken/misconfigured). A 2024 snapshot confirms the name and tagline ('Wheat beer with citrus') still existed but did not repeat the ABV figure."
